adduser	4	apt,cron-daemon-common,dhcpcd-base,ifupdown
anacron	1	logrotate
apt	1	apt-utils
base-files	1	bash
base-passwd	2	apt,passwd
cdebconf	1	libpam-runtime
cron	2	logrotate,logrotate
cron-daemon-common	1	cron
debconf	12	debconf-i18n,iproute2,iproute2,libpam0g,libpam0g,libpam-modules,libpam-modules,libpam-runtime,libpam-runtime,libpam-runtime,tzdata,tzdata
debian-archive-keyring	1	apt
debianutils	2	bash,dash
gcc-14-base	2	libgcc-s1,libstdc++6
init-system-helpers	2	cron,procps
iproute2	1	ifupdown
libacl1	8	coreutils,libsystemd-shared,logrotate,passwd,sed,systemd,tar,vim-tiny
libapparmor1	1	systemd
libapt-pkg7.0	2	apt,apt-utils
libattr1	2	coreutils,passwd
libaudit1	7	libpam0g,libpam-modules-bin,libpam-modules,libsemanage2,libsystemd-shared,login,passwd
libaudit-common	1	libaudit1
libblkid1	7	e2fsprogs,libfdisk1,libmount1,libsystemd-shared,mount,udev,util-linux
libbpf1	1	iproute2
libbsd0	2	libedit2,passwd
libbz2-1.0	3	dpkg,libapt-pkg7.0,libsemanage2
libc6	122	apt,apt-utils,base-passwd,bash,bsdutils,coreutils,cpio,cron,dash,debianutils,dhcpcd-base,diffutils,dmidecode,dpkg,e2fsprogs,fdisk,findutils,grep,gzip,hostname,ifupdown,iproute2,iputils-ping,kmod,less,libacl1,libapparmor1,libapt-pkg7.0,libattr1,libaudit1,libblkid1,libbpf1,libbsd0,libbz2-1.0,libcap2-bin,libcap2,libcap-ng0,libc-bin,libc-bin,libcom-err2,libcrypt1,libdb5.3t64,libdebconfclient0,libedit2,libelf1t64,libext2fs2t64,libfdisk1,libgcc-s1,libgmp10,libgssapi-krb5-2,libhogweed6t64,libidn2-0,libjansson4,libk5crypto3,libkeyutils1,libkmod2,libkrb5-3,libkrb5support0,liblastlog2-2,liblocale-gettext-perl,liblz4-1,liblzma5,libmd0,libmnl0,libmount1,libncursesw6,libnettle8t64,libnewt0.52,libnftables1,libnftnl11,libpam0g,libpam-modules-bin,libpam-modules,libpcre2-8-0,libpopt0,libproc2-0,libreadline8t64,libseccomp2,libselinux1,libsemanage2,libsepol2,libslang2,libsmartcols1,libsqlite3-0,libss2,libssl3t64,libstdc++6,libsystemd0,libsystemd-shared,libtext-charwidth-perl,libtext-iconv-perl,libtinfo6,libtirpc3t64,libudev1,libunistring5,libuuid1,libxtables12,libxxhash0,libzstd1,login,logrotate,logsave,mawk,mount,nano,ncurses-bin,nftables,openssl-provider-legacy,passwd,perl-base,procps,sed,sqv,systemd,systemd,sysvinit-utils,tar,udev,util-linux,vim-tiny,whiptail,zlib1g
libcap2	7	coreutils,iproute2,iputils-ping,libcap2-bin,libsystemd0,libsystemd-shared,libudev1
libcap2-bin	1	iproute2
libcap-ng0	2	libaudit1,util-linux
libcom-err2	4	e2fsprogs,libgssapi-krb5-2,libkrb5-3,libss2
libcrypt1	7	libpam-modules-bin,libpam-modules,libsystemd-shared,login,passwd,perl-base,util-linux
libdb5.3t64	3	apt-utils,iproute2,libpam-modules
libdebconfclient0	1	base-passwd
libedit2	1	nftables
libelf1t64	2	iproute2,libbpf1
libext2fs2t64	1	e2fsprogs
libfdisk1	1	fdisk
libgcc-s1	6	apt,apt-utils,libapt-pkg7.0,libc6,libstdc++6,sqv
libgmp10	4	coreutils,libhogweed6t64,libnftables1,sqv
libgssapi-krb5-2	1	libtirpc3t64
libhogweed6t64	1	sqv
libidn2-0	1	iputils-ping
libjansson4	1	libnftables1
libk5crypto3	2	libgssapi-krb5-2,libkrb5-3
libkeyutils1	1	libkrb5-3
libkmod2	2	kmod,udev
