libsystemd0	dependency	auto (unclassified)
libsystemd-shared	dependency	auto (unclassified)
libtinfo6	dependency	auto (unclassified)
libtirpc3t64	dependency	auto (unclassified)
libtirpc-common	dependency	auto (unclassified)
libudev1	dependency	auto (unclassified)
libunistring5	dependency	auto (unclassified)
libuuid1	dependency	auto (unclassified)
libxtables12	dependency	auto (unclassified)
libxxhash0	dependency	auto (unclassified)
libzstd1	dependency	auto (unclassified)
logsave	dependency	auto (unclassified)
openssl-provider-legacy	dependency	auto (unclassified)
readline-common	dependency	auto (unclassified)
sqv	dependency	auto (unclassified)
zlib1g	dependency	auto (unclassified)
