package	version	arch	tier	tier_source	subsystem	fwd_dep_count	rdep_count	rdeps	size_kb	bin_files	lib_files	unit_files	doc_files	maintainer_hook_count	security_evidence_count	candidate
libc6	2.41-12+deb13u3	amd64	core	manual (tiers/core.txt)	executable-runtime	1	122	apt,apt-utils,base-passwd,bash,bsdutils,coreutils,cpio,cron,dash,debianutils,dhcpcd-base,diffutils,dmidecode,dpkg,e2fsprogs,fdisk,findutils,grep,gzip,hostname,ifupdown,iproute2,iputils-ping,kmod,less,libacl1,libapparmor1,libapt-pkg7.0,libattr1,libaudit1,libblkid1,libbpf1,libbsd0,libbz2-1.0,libcap2-bin,libcap2,libcap-ng0,libc-bin,libc-bin,libcom-err2,libcrypt1,libdb5.3t64,libdebconfclient0,libedit2,libelf1t64,libext2fs2t64,libfdisk1,libgcc-s1,libgmp10,libgssapi-krb5-2,libhogweed6t64,libidn2-0,libjansson4,libk5crypto3,libkeyutils1,libkmod2,libkrb5-3,libkrb5support0,liblastlog2-2,liblocale-gettext-perl,liblz4-1,liblzma5,libmd0,libmnl0,libmount1,libncursesw6,libnettle8t64,libnewt0.52,libnftables1,libnftnl11,libpam0g,libpam-modules-bin,libpam-modules,libpcre2-8-0,libpopt0,libproc2-0,libreadline8t64,libseccomp2,libselinux1,libsemanage2,libsepol2,libslang2,libsmartcols1,libsqlite3-0,libss2,libssl3t64,libstdc++6,libsystemd0,libsystemd-shared,libtext-charwidth-perl,libtext-iconv-perl,libtinfo6,libtirpc3t64,libudev1,libunistring5,libuuid1,libxtables12,libxxhash0,libzstd1,login,logrotate,logsave,mawk,mount,nano,ncurses-bin,nftables,openssl-provider-legacy,passwd,perl-base,procps,sed,sqv,systemd,systemd,sysvinit-utils,tar,udev,util-linux,vim-tiny,whiptail,zlib1g	13226	0	0	0	0	0	0	-
libcap-ng0	0.8.5-4+b1	amd64	dependency	auto (unclassified)	accounts-auth	1	2	libaudit1,util-linux	66	0	0	0	0	0	0	-
libcap2	1:2.75-10+deb13u1+b1	amd64	dependency	auto (unclassified)	accounts-auth	1	7	coreutils,iproute2,iputils-ping,libcap2-bin,libsystemd0,libsystemd-shared,libudev1	92	0	0	0	0	0	0	-
libcap2-bin	1:2.75-10+deb13u1+b1	amd64	debian-essential	auto (Priority/Essential)	accounts-auth	2	1	iproute2	132	4	0	0	12	0	0	-
libcom-err2	1.47.2-3+b11	amd64	dependency	auto (unclassified)	filesystem-storage	1	4	e2fsprogs,libgssapi-krb5-2,libkrb5-3,libss2	64	0	0	0	0	0	0	-
libcrypt1	1:4.4.38-1	amd64	dependency	auto (unclassified)	executable-runtime	1	7	libpam-modules-bin,libpam-modules,libsystemd-shared,login,passwd,perl-base,util-linux	234	0	0	0	0	0	0	-
libdb5.3t64	5.3.28+dfsg2-9	amd64	dependency	auto (unclassified)	support-libraries	1	3	apt-utils,iproute2,libpam-modules	1854	0	0	0	0	0	0	-
libdebconfclient0	0.280	amd64	dependency	auto (unclassified)	package-management	1	1	base-passwd	38	0	0	0	0	0	0	-
libedit2	3.1-20250104-1	amd64	dependency	auto (unclassified)	admin-human-interface	3	1	nftables	262	0	0	0	0	0	0	-
libelf1t64	0.192-4	amd64	dependency	auto (unclassified)	networking	3	2	iproute2,libbpf1	1228	0	0	0	0	0	0	-
