libtirpc-common	1.3.6+ds-1	all	optional	no	32
libtirpc3t64	1.3.6+ds-1	amd64	optional	no	236
libudev1	257.13-1~deb13u1	amd64	optional	no	357
libunistring5	1.3-2	amd64	optional	no	2092
libuuid1	2.41-5	amd64	optional	no	98
libxtables12	1.8.11-2	amd64	optional	no	101
libxxhash0	0.8.3-2	amd64	optional	no	92
libzstd1	1.5.7+dfsg-1	amd64	optional	no	847
linux-sysctl-defaults	4.12.1	all	important	no	19
login	1:4.16.0-2+really2.41-5	amd64	required	no	284
login.defs	1:4.17.4-2	all	required	no	214
logrotate	3.22.0-1	amd64	important	no	151
logsave	1.47.2-3+b11	amd64	optional	no	59
mawk	1.3.4.20250131-1	amd64	required	no	292
mount	2.41-5	amd64	required	no	496
nano	8.4-1+deb13u1	amd64	important	no	2839
ncurses-base	6.5+20250216-2	all	required	yes	389
ncurses-bin	6.5+20250216-2	amd64	required	yes	665
netbase	6.5	all	important	no	35
nftables	1.1.3-1	amd64	important	no	185
openssl-provider-legacy	3.5.6-1~deb13u2	amd64	optional	no	420
passwd	1:4.17.4-2	amd64	required	no	4758
perl-base	5.40.1-6	amd64	required	yes	7811
procps	2:4.0.4-9	amd64	important	no	2395
readline-common	8.2-6	all	optional	no	89
sed	4.9-2+deb13u1	amd64	required	yes	991
sensible-utils	0.0.25	all	required	no	63
sqv	1.3.0-3+b2	amd64	optional	no	1855
systemd	257.13-1~deb13u1	amd64	important	no	9944
systemd-sysv	257.13-1~deb13u1	amd64	important	no	97
sysvinit-utils	3.14-4	amd64	required	yes	104
tar	1.35+dfsg-3.1	amd64	required	yes	3085
tzdata	2026b-0+deb13u1	all	required	no	1361
udev	257.13-1~deb13u1	amd64	important	no	10236
util-linux	2.41-5	amd64	required	yes	4961
vim-common	2:9.1.1230-2	all	important	no	1864
vim-tiny	2:9.1.1230-2	amd64	important	no	1831
whiptail	0.52.25-1	amd64	optional	no	61
zlib1g	1:1.3.dfsg+really1.3.1-1+b1	amd64	optional	no	173
